date,date_type,trading_hours_start,trading_hours_end,settlement_start,settlement_end,roll_countdown,FeederCattle_N0,FeederCattle_N1,FeederCattle_N2,FeederCattle_N3,FeederCattle_N4,FeederCattle_N5,FeederCattle_N6
2022-01-03,O,2022-01-03 09:30:00,2022-01-03 14:05:00,2022-01-03 13:59:30,2022-01-03 14:00:00,34,202201,202203,202204,202205,202208,202209,202210
2022-01-04,O,2022-01-04 09:30:00,2022-01-04 14:05:00,2022-01-04 13:59:30,2022-01-04 14:00:00,33,202201,202203,202204,202205,202208,202209,202210
2022-01-05,O,2022-01-05 09:30:00,2022-01-05 14:05:00,2022-01-05 13:59:30,2022-01-05 14:00:00,32,202201,202203,202204,202205,202208,202209,202210
2022-01-06,O,2022-01-06 09:30:00,2022-01-06 14:05:00,2022-01-06 13:59:30,2022-01-06 14:00:00,31,202201,202203,202204,202205,202208,202209,202210
2022-01-07,O,2022-01-07 09:30:00,2022-01-07 14:05:00,2022-01-07 13:59:30,2022-01-07 14:00:00,30,202201,202203,202204,202205,202208,202209,202210
2022-01-10,O,2022-01-10 09:30:00,2022-01-10 14:05:00,2022-01-10 13:59:30,2022-01-10 14:00:00,29,202201,202203,202204,202205,202208,202209,202210
2022-01-11,O,2022-01-11 09:30:00,2022-01-11 14:05:00,2022-01-11 13:59:30,2022-01-11 14:00:00,28,202201,202203,202204,202205,202208,202209,202210
2022-01-12,O,2022-01-12 09:30:00,2022-01-12 14:05:00,2022-01-12 13:59:30,2022-01-12 14:00:00,27,202201,202203,202204,202205,202208,202209,202210
2022-01-13,O,2022-01-13 09:30:00,2022-01-13 14:05:00,2022-01-13 13:59:30,2022-01-13 14:00:00,26,202201,202203,202204,202205,202208,202209,202210
2022-01-14,O,2022-01-14 09:30:00,2022-01-14 14:05:00,2022-01-14 13:59:30,2022-01-14 14:00:00,25,202201,202203,202204,202205,202208,202209,202210
2022-01-17,X,,,,,,,,,,,,
2022-01-18,O,2022-01-18 09:30:00,2022-01-18 14:05:00,2022-01-18 13:59:30,2022-01-18 14:00:00,24,202201,202203,202204,202205,202208,202209,202210
2022-01-19,O,2022-01-19 09:30:00,2022-01-19 14:05:00,2022-01-19 13:59:30,2022-01-19 14:00:00,23,202201,202203,202204,202205,202208,202209,202210
2022-01-20,O,2022-01-20 09:30:00,2022-01-20 14:05:00,2022-01-20 13:59:30,2022-01-20 14:00:00,22,202201,202203,202204,202205,202208,202209,202210
2022-01-21,O,2022-01-21 09:30:00,2022-01-21 14:05:00,2022-01-21 13:59:30,2022-01-21 14:00:00,21,202201,202203,202204,202205,202208,202209,202210
2022-01-24,O,2022-01-24 09:30:00,2022-01-24 14:05:00,2022-01-24 13:59:30,2022-01-24 14:00:00,20,202201,202203,202204,202205,202208,202209,202210
2022-01-25,O,2022-01-25 09:30:00,2022-01-25 14:05:00,2022-01-25 13:59:30,2022-01-25 14:00:00,19,202201,202203,202204,202205,202208,202209,202210
2022-01-26,O,2022-01-26 09:30:00,2022-01-26 14:05:00,2022-01-26 13:59:30,2022-01-26 14:00:00,18,202201,202203,202204,202205,202208,202209,202210
2022-01-27,O,2022-01-27 09:30:00,2022-01-27 14:05:00,2022-01-27 13:59:30,2022-01-27 14:00:00,17,202201,202203,202204,202205,202208,202209,202210
2022-01-28,O,2022-01-28 09:30:00,2022-01-28 14:05:00,2022-01-28 13:59:30,2022-01-28 14:00:00,16,,202203,202204,202205,202208,202209,202210
2022-01-31,O,2022-01-31 09:30:00,2022-01-31 14:05:00,2022-01-31 13:59:30,2022-01-31 14:00:00,15,,202203,202204,202205,202208,202209,202210
2022-02-01,O,2022-02-01 09:30:00,2022-02-01 14:05:00,2022-02-01 13:59:30,2022-02-01 14:00:00,14,,202203,202204,202205,202208,202209,202210
2022-02-02,O,2022-02-02 09:30:00,2022-02-02 14:05:00,2022-02-02 13:59:30,2022-02-02 14:00:00,13,,202203,202204,202205,202208,202209,202210
