date,date_type,trading_hours_start,trading_hours_end,settlement_start,settlement_end,roll_countdown,Coffee_N0,Coffee_N1,Coffee_N2,Coffee_N3,Coffee_N4,Coffee_N5,Coffee_N6
2022-03-07,O,2022-03-07 04:15:00,2022-03-07 13:30:00,2022-03-07 12:23:00,2022-03-07 12:25:00,27,202203,202205,202207,202209,202212,202303,202305
2022-03-08,O,2022-03-08 04:15:00,2022-03-08 13:30:00,2022-03-08 12:23:00,2022-03-08 12:25:00,26,202203,202205,202207,202209,202212,202303,202305
2022-03-09,O,2022-03-09 04:15:00,2022-03-09 13:30:00,2022-03-09 12:23:00,2022-03-09 12:25:00,25,202203,202205,202207,202209,202212,202303,202305
2022-03-10,O,2022-03-10 04:15:00,2022-03-10 13:30:00,2022-03-10 12:23:00,2022-03-10 12:25:00,24,202203,202205,202207,202209,202212,202303,202305
2022-03-11,O,2022-03-11 04:15:00,2022-03-11 13:30:00,2022-03-11 12:23:00,2022-03-11 12:25:00,23,202203,202205,202207,202209,202212,202303,202305
2022-03-14,O,2022-03-14 04:15:00,2022-03-14 13:30:00,2022-03-14 13:23:00,2022-03-14 13:25:00,22,202203,202205,202207,202209,202212,202303,202305
2022-03-15,O,2022-03-15 04:15:00,2022-03-15 13:30:00,2022-03-15 13:23:00,2022-03-15 13:25:00,21,202203,202205,202207,202209,202212,202303,202305
2022-03-16,O,2022-03-16 04:15:00,2022-03-16 13:30:00,2022-03-16 13:23:00,2022-03-16 13:25:00,20,202203,202205,202207,202209,202212,202303,202305
2022-03-17,O,2022-03-17 04:15:00,2022-03-17 13:30:00,2022-03-17 13:23:00,2022-03-17 13:25:00,19,202203,202205,202207,202209,202212,202303,202305
2022-03-18,O,2022-03-18 04:15:00,2022-03-18 13:30:00,2022-03-18 13:23:00,2022-03-18 13:25:00,18,202203,202205,202207,202209,202212,202303,202305
2022-03-21,O,2022-03-21 04:15:00,2022-03-21 13:30:00,2022-03-21 13:23:00,2022-03-21 13:25:00,17,202203,202205,202207,202209,202212,202303,202305
2022-03-22,O,2022-03-22 04:15:00,2022-03-22 13:30:00,2022-03-22 13:23:00,2022-03-22 13:25:00,16,,202205,202207,202209,202212,202303,202305
2022-03-23,O,2022-03-23 04:15:00,2022-03-23 13:30:00,2022-03-23 13:23:00,2022-03-23 13:25:00,15,,202205,202207,202209,202212,202303,202305
2022-03-24,O,2022-03-24 04:15:00,2022-03-24 13:30:00,2022-03-24 13:23:00,2022-03-24 13:25:00,14,,202205,202207,202209,202212,202303,202305
2022-03-25,O,2022-03-25 04:15:00,2022-03-25 13:30:00,2022-03-25 13:23:00,2022-03-25 13:25:00,13,,202205,202207,202209,202212,202303,202305
2022-03-28,O,2022-03-28 04:15:00,2022-03-28 13:30:00,2022-03-28 12:23:00,2022-03-28 12:25:00,12,,202205,202207,202209,202212,202303,202305
2022-03-29,O,2022-03-29 04:15:00,2022-03-29 13:30:00,2022-03-29 12:23:00,2022-03-29 12:25:00,11,,202205,202207,202209,202212,202303,202305
2022-03-30,O,2022-03-30 04:15:00,2022-03-30 13:30:00,2022-03-30 12:23:00,2022-03-30 12:25:00,10,,202205,202207,202209,202212,202303,202305
2022-03-31,O,2022-03-31 04:15:00,2022-03-31 13:30:00,2022-03-31 12:23:00,2022-03-31 12:25:00,9,,202205,202207,202209,202212,202303,202305
