trade_date,AUD,BRL,CAD,CHF,CLP,CNH,CNY,COP,CZK,DKK,EUR,GBP,HKD,HUF,IDR,ILS,INR,ISK,JPY,KRW,MXN,MYR,NOK,NZD,PHP,PLN,RUB,SAR,SEK,SGD,THB,TRY,TWD,ZAR
2007-05-14,0.8323,,,,,,,,,,1.3541,1.9783,,,,,,,,,,,,0.7373,,,,,,,,,,
2007-05-15,0.8324,,,,,,,,,,1.35901,1.9854,,,,,,,,,,,,0.7379,,,,,,,,,,
2007-05-16,0.8237,,,,,,,,,,1.3521,1.978,,,,,,,,,,,,0.7331,,,,,,,,,,
2007-05-17,0.8235,,,,,,,,,,1.3493,1.9742,,,,,,,,,,,,0.731,,,,,,,,,,
2007-05-18,0.8235,,,,,,,,,,1.3505,1.9745,,,,,,,,,,,,0.7306,,,,,,,,,,
2007-05-21,0.8224,,,,,,,,,,1.347,1.9703,,,,,,,,,,,,0.7307,,,,,,,,,,
2007-05-22,0.8199,,,,,,,,,,1.3455,1.975,,,,,,,,,,,,0.7267,,,,,,,,,,
2007-05-23,0.8237,,,,,,,,,,1.3458,1.9862,,,,,,,,,,,,0.7296,,,,,,,,,,
2007-05-24,0.8192,,,,,,,,,,1.3432,1.9859,,,,,,,,,,,,0.7256,,,,,,,,,,
2007-05-25,0.8184,,,,,,,,,,1.3448,1.9846,,,,,,,,,,,,0.7255,,,,,,,,,,
2007-05-28,0.8195,,,,,,,,,,1.3453,1.9836,,,,,,,,,,,,0.7269,,,,,,,,,,
2007-05-29,0.8185,,,,,,,,,,1.345,1.98,,,,,,,,,,,,0.7261,,,,,,,,,,
2007-05-30,0.8222,,0.9314,0.8163,,,,,0.047402,0.1803,1.343,1.9757,0.12812,,,,,0.016127,0.008225,,0.09291,,0.1648,0.7302,,,0.03859,,0.144241,0.6538,,,,0.139593
2007-05-31,0.8281,,0.9351,0.8162,,,,,0.047575,0.1806,1.3454,1.9795,0.12807,,,,,0.016238,0.008217,,0.0931,,0.1658,0.737,,,0.03863,,0.144514,0.654,,,,0.140361
2007-06-01,0.8328,,0.9417,0.8129,,,,,0.04753,0.1805,1.3443,1.9821,0.12803,,,,,0.016275,0.008194,,0.0934,,0.166,0.7442,,,0.03862,,0.144293,0.6536,,,,0.140962
2007-06-04,0.8344,,0.9447,0.8172,,,,,0.047521,0.1811,1.3488,1.9904,0.1281,,,,,0.015951,0.008209,,0.09288,,0.167,0.7468,,,0.03867,,0.144577,0.6535,,,,0.14033
2007-06-05,0.8374,,0.9417,0.8212,,,,,0.047549,0.1815,1.3521,1.9921,0.12807,,,,,0.015879,0.008242,,0.09252,,0.1674,0.7492,,,0.03871,,0.144925,0.6537,,,,0.139383
2007-06-06,0.8404,,0.9445,0.8222,,,,,0.047531,0.1814,1.3504,1.9927,0.12801,,,,,0.015948,0.008263,,0.0921,,0.1672,0.7507,,,0.03871,,0.144782,0.6524,,,,0.138706
2007-06-07,0.8421,,0.9415,0.8165,,,,,0.047261,0.1804,1.3432,1.9771,0.12796,,,,,0.015737,0.008258,,0.09163,,0.1666,0.7525,,,0.03861,,0.143979,0.6507,,,,0.137918
2007-06-08,0.8429,,0.9424,0.8094,,,,,0.046965,0.1795,1.3362,1.9672,0.12796,,,,,0.015589,0.008218,,0.09164,,0.1647,0.761,,,0.03849,,0.143053,0.6493,,,,0.137765
2007-06-11,0.8433,,0.9426,0.8076,,,,,0.046898,0.1794,1.3358,1.9692,0.12798,,,,,0.015708,0.00821,,0.09178,,0.1649,0.7508,,,0.03849,,0.142861,0.6487,,,,0.138453
2007-06-12,0.8428,,0.9393,0.8047,,,,,0.04676,0.1788,1.3316,1.9763,0.12793,,,,,0.01583,0.008212,,0.09146,,0.1642,0.7519,,,0.03843,,0.141541,0.6497,,,,0.13837
2007-06-13,0.8398,,0.9365,0.8039,,,,,0.046613,0.1788,1.3311,1.9734,0.12793,,,,,0.015766,0.008156,,0.0915,,0.1644,0.7506,,,0.0384,,0.141558,0.6483,,,,0.13835
2007-06-14,0.8359,,0.9358,0.802,,,,,0.046564,0.1787,1.3306,1.9694,0.12793,,,,,0.01583,0.008132,,0.09185,,0.1641,0.7504,,,0.03839,,0.141112,0.6484,,,,0.13901
2007-06-15,0.8418,,0.9359,0.8046,,,,,0.046848,0.1797,1.3378,1.975,0.12791,,,,,0.016068,0.0081,,0.09277,,0.1657,0.7537,,,0.03851,,0.142081,0.6496,,,,0.140527
2007-06-18,0.8437,,0.9323,0.8052,,,,,0.046935,0.1802,1.3413,1.9836,0.12792,,,,,0.016048,0.00809,,0.0928,,0.1661,0.754,,,0.03855,,0.142326,0.6507,,,,0.141084
2007-06-19,0.847,,0.9409,0.8064,,,,,0.046934,0.1803,1.3426,1.9887,0.1279,,,,,0.016095,0.008105,,0.09306,,0.166,0.759,,,0.03856,,0.142594,0.6503,,,,0.141414
2007-06-20,0.8459,,0.938,0.8085,,,,,0.0469,0.1803,1.3418,1.9947,0.12796,,,,,0.016111,0.008092,,0.09246,,0.1668,0.7616,,,0.03854,,0.144957,0.6509,,,,0.140091
2007-06-21,0.8468,,0.9295,0.8054,,,,,0.046758,0.1799,1.3387,1.9921,0.128,,,,,0.016022,0.008086,,0.09259,,0.1675,0.7624,,,0.03851,,0.14502,0.6514,,,,0.140033
2007-06-22,0.8469,,0.9355,0.8135,,,,,0.046941,0.1809,1.3466,1.9994,0.12798,,,,,0.016073,0.008074,,0.09227,,0.1687,0.7658,,,0.03863,,0.145606,0.65,,,,0.13986
2007-06-25,0.8465,,0.9343,0.8146,,,,,0.046897,0.181,1.3466,1.9987,0.12801,,,,,0.015913,0.008089,,0.09218,,0.1683,0.7641,,,0.03864,,0.145571,0.6506,,,,0.139315
2007-06-26,0.8463,,0.9352,0.8148,,,,,0.046871,0.181,1.3468,1.9991,0.12799,,,,,0.016012,0.008113,,0.09211,,0.1679,0.7667,,,0.03878,,0.14514,0.6501,,,,0.13912
2007-06-27,0.8365,,0.9335,0.8141,,,,,0.047061,0.1806,1.3444,1.9978,0.12793,,,,,0.015939,0.008168,,0.09234,,0.1689,0.7585,,,0.03871,,0.145297,0.65,,,,0.139967
2007-06-28,0.8459,,0.9431,0.8112,,,,,0.046795,0.1805,1.3432,2.0011,0.12793,,,,,0.015939,0.008118,,0.09268,,0.1691,0.7685,,,0.03873,,0.145438,0.6521,,,,0.14136
2007-06-29,0.8478,,0.941,0.8184,,,,,0.047074,0.1819,1.3534,2.0077,0.12791,,,,,0.016066,0.00812,,0.09256,,0.1695,0.7695,,,0.03885,,0.146171,0.6535,,,,0.141749
2007-07-02,0.8597,,0.9468,0.8264,,,,,0.047371,0.1831,1.3626,2.0165,0.12795,,,,,0.016086,0.008175,,0.09296,,0.172,0.7828,,,0.03898,,0.147052,0.6566,,,,0.143668
2007-07-03,0.8544,,0.943,0.8223,,,,,0.047295,0.1828,1.3602,2.0165,0.12799,,,,,0.016141,0.008169,,0.09285,,0.1715,0.781,,,0.03894,,0.147726,0.6564,,,,0.142954
2007-07-04,0.8577,,0.9453,0.822,,,,,0.04741,0.1829,1.3614,2.0166,0.12798,,,,,0.016117,0.008155,,0.09289,,0.1716,0.7818,,,0.03897,,0.148637,0.6574,,,,0.143627
2007-07-05,0.8565,,0.9465,0.8217,,,,,0.047471,0.1827,1.3599,2.0123,0.12792,,,,,0.016261,0.008138,,0.0926,,0.1716,0.782,,,0.03891,,0.148496,0.6577,,,,0.142628
2007-07-06,0.8574,,0.9529,0.8209,,,,,0.047568,0.1831,1.3621,2.0106,0.12793,,,,,0.016396,0.008104,,0.09288,,0.172,0.7801,,,0.03889,,0.148506,0.6579,,,,0.143039
2007-07-09,0.8604,0.5274,0.9539,0.8223,,,,,0.047558,0.1831,1.3623,2.015,0.12794,,,,,0.016498,0.008107,,0.09295,,0.1719,0.7802,,,0.03897,,0.148209,0.6582,,,,0.143529
2007-07-10,0.8624,0.5286,0.9513,0.8296,,,,,0.048006,0.1846,1.3729,2.0267,0.12794,,,,,0.016424,0.008195,,0.09247,,0.1723,0.779,,,0.03913,,0.149541,0.6596,,,,0.142521
2007-07-11,0.8613,0.5286,0.9476,0.8307,,,,,0.048536,0.185,1.376,2.0335,0.12793,,,,,0.016557,0.008195,,0.09239,,0.1734,0.7796,,,0.03918,,0.15016,0.6597,,,,0.142121
2007-07-12,0.8658,0.5338,0.9553,0.8308,,,,,0.048743,0.1852,1.3783,2.0301,0.12793,,,,,0.016557,0.008169,,0.09294,,0.1742,0.7834,,,0.03921,,0.150516,0.6604,,,,0.143562
2007-07-13,0.8697,0.537,0.9546,0.8316,,,,,0.048909,0.1853,1.3788,2.0337,0.12788,,,,,0.01666,0.008196,,0.09299,,0.1741,0.7859,,,0.03928,,0.150374,0.6598,,,,0.143424
2007-07-16,0.8717,0.5348,0.9588,0.8319,,,,,0.048692,0.1852,1.3782,2.0372,0.12787,,,,,0.016624,0.008209,,0.09273,,0.1746,0.7924,,,0.03926,,0.15054,0.6591,,,,0.143506
2007-07-17,0.8724,0.5376,0.9585,0.831,,,,,0.04874,0.1852,1.3782,2.0461,0.12786,,,,,0.016624,0.008171,,0.09312,,0.1746,0.7911,,,0.03927,,0.150436,0.6589,,,,0.143807
2007-07-18,0.8766,0.5377,0.957,0.8327,,,,,0.048844,0.1854,1.3795,2.0535,0.12787,,,,,0.016823,0.008204,,0.09303,,0.1746,0.7928,,,0.03931,,0.15031,0.6595,,,,0.143961
2007-07-19,0.8799,0.5393,0.9586,0.8311,,,,,0.048866,0.1855,1.3804,2.0488,0.12785,,,,,0.016838,0.008193,,0.09311,,0.1745,0.7934,,,0.03935,,0.150465,0.6614,,,,0.145558
2007-07-20,0.879,0.5387,0.9543,0.8324,,,,,0.048973,0.1858,1.3821,2.0549,0.12788,,,,,0.016788,0.008247,,0.09268,,0.1746,0.7963,,,0.03938,,0.150668,0.6615,,,,0.145312
2007-07-23,0.8824,0.543,0.9555,0.8283,,,,,0.04894,0.1855,1.3803,2.058,0.12786,,,,,0.0168,0.008242,,0.09301,,0.1745,0.8054,,,0.03936,,0.150292,0.6632,,,,0.146655
2007-07-24,0.8843,0.537,0.9659,0.8305,,,,,0.049132,0.1858,1.3828,2.0639,0.12783,,,,,0.016866,0.008307,,0.09237,,0.1741,0.8082,,,0.03939,,0.150185,0.6641,,,,0.145639
2007-07-25,0.8824,0.5359,0.96,0.8234,,,,,0.048694,0.1842,1.3708,2.0514,0.1278,,,,,0.016674,0.008298,,0.09192,,0.1723,0.803,,,0.03923,,0.148754,0.6624,,,,0.14477
2007-07-26,0.8711,0.5185,0.9477,0.8307,,,,,0.049121,0.1846,1.374,2.049,0.12782,,,,,0.016459,0.00843,,0.09098,,0.1713,0.7826,,,0.03926,,0.148388,0.66,,,,0.141104
2007-07-27,0.8528,0.5278,0.9425,0.8273,,,,,0.048704,0.1834,1.3648,2.027,0.12782,,,,,0.016285,0.008418,,0.09135,,0.1704,0.7666,,,0.03908,,0.148366,0.6598,,,,0.141493
2007-07-30,0.8524,0.5331,0.9357,0.831,,,,,0.048771,0.184,1.369,2.0227,0.1278,,,,,0.016156,0.008418,,0.09153,,0.1712,0.7644,,,0.03912,,0.148825,0.6605,,,,0.14045
2007-07-31,0.8563,0.5312,0.9391,0.8317,,,,,0.048818,0.184,1.369,2.0346,0.12778,,,,,0.016357,0.008417,,0.09127,,0.1717,0.7666,,,0.03912,,0.148457,0.6597,,,,0.140253
2007-08-01,0.8487,0.5312,0.9442,0.831,,,,,0.048746,0.1835,1.3656,2.028,0.12774,,,,,0.015863,0.008435,,0.091,,0.1712,0.7597,,,0.03907,,0.147682,0.6579,,,,0.139967
2007-08-02,0.8565,0.5334,0.9496,0.8305,,,,,0.048869,0.184,1.3692,2.0356,0.12774,,,,,0.015968,0.008397,,0.09128,,0.1723,0.7669,,,0.03909,,0.148608,0.6588,,,,0.140721
2007-08-03,0.8569,0.5263,0.9498,0.8403,,,,,0.049164,0.1855,1.3802,2.0447,0.12774,,,,,0.015678,0.008445,,0.09108,,0.1735,0.764,,,0.03909,,0.149322,0.6599,,,,0.140561
2007-08-06,0.8574,0.5246,0.95,0.8409,,,,,0.049122,0.1854,1.3799,2.03,0.12772,,,,,0.015665,0.008444,,0.09115,,0.173,0.7631,,,0.03925,,0.14943,0.66,,,,0.141713
2007-08-07,0.8548,0.5247,0.9485,0.837,,,,,0.048923,0.1849,1.3761,2.024,0.12773,,,,,0.015604,0.008425,,0.09121,,0.1723,0.7599,,,0.03929,,0.1488,0.6596,,,,0.141606
