trade_date,AUD,BRL,CAD,CHF,CLP,CNH,CNY,COP,CZK,DKK,EUR,GBP,HKD,HUF,IDR,ILS,INR,ISK,JPY,KRW,MXN,MYR,NOK,NZD,PHP,PLN,RUB,SAR,SEK,SGD,THB,TRY,TWD,ZAR
1971-01-04,1.1127,,0.9892,0.2316,,,,,,0.1336,,2.3938,,,,,,,0.002795,,80.00001,0.324,,1.1138,,,,,0.193637,,,,,
1971-01-05,1.1132,,0.9899,0.2319,,,,,,0.1336,,2.3949,,,,,,,0.002795,,80.00001,0.324,,1.1143,,,,,0.193693,,,,,
1971-01-06,1.114,,0.9895,0.2319,,,,,,0.1336,,2.3967,,,,,,,0.002794,,80.00001,0.3242,,1.1151,,,,,0.193746,,,,,
1971-01-07,1.1138,,0.9854,0.232,,,,,,0.1336,,2.3963,,,,,,,0.002794,,80.00001,0.3241,,1.115,,,,,0.193615,,,,,
1971-01-08,1.1124,,0.9848,0.232,,,,,,0.1336,,2.3972,,,,,,,0.002795,,80.00001,0.3242,,1.1154,,,,,0.193682,,,,,
1971-01-11,1.1152,,0.9843,0.232,,,,,,0.1336,,2.3992,,,,,,,0.002794,,80.00001,0.3245,,1.1163,,,,,0.193641,,,,,
1971-01-12,1.1156,,0.9872,0.232,,,,,,0.1336,,2.4001,,,,,,,0.002793,,80.00001,0.3246,,1.1167,,,,,0.193637,,,,,
1971-01-13,1.1165,,0.9879,0.232,,,,,,0.1337,,2.4021,,,,,,,0.00279,,80.00001,0.3249,,1.1177,,,,,0.193742,,,,,
1971-01-14,1.1189,,0.9869,0.232,,,,,,0.1336,,2.4071,,,,,,,0.00279,,80.00001,0.3252,,1.12,,,,,0.193705,,,,,
1971-01-15,1.1182,,0.9867,0.2321,,,,,,0.1336,,2.4057,,,,,,,0.00279,,80.00001,0.3251,,1.1193,,,,,0.193648,,,,,
1971-01-18,1.1179,,0.9876,0.2324,,,,,,0.1336,,2.4052,,,,,,,0.002791,,80.00001,0.3252,,1.1191,,,,,0.193607,,,,,
1971-01-19,1.1193,,0.989,0.2325,,,,,,0.1336,,2.4081,,,,,,,0.002791,,80.00001,0.3255,,1.1205,,,,,0.193585,,,,,
1971-01-20,1.1193,,0.9886,0.2325,,,,,,0.1336,,2.408,,,,,,,0.00279,,80.00001,0.3255,,1.1204,,,,,0.193663,,,,,
1971-01-21,1.1198,,0.9892,0.2325,,,,,,0.1336,,2.4092,,,,,,,0.002791,,80.00001,0.3256,,1.121,,,,,0.193618,,,,,
