date,date_type,trading_hours_start,trading_hours_end,settlement_start,settlement_end,roll_countdown,NOK_N0,NOK_N1,NOK_N2,NOK_N3,NOK_N4,NOK_N5,NOK_N6
2020-02-26,O,2020-02-25 18:00:00,2020-02-26 17:00:00,2020-02-26 14:59:30,2020-02-26 15:00:00,8,,202003,202006,202009,202012,202103,202106
2020-02-27,O,2020-02-26 18:00:00,2020-02-27 17:00:00,2020-02-27 14:59:30,2020-02-27 15:00:00,7,,202003,202006,202009,202012,202103,202106
2020-02-28,O,2020-02-27 18:00:00,2020-02-28 17:00:00,2020-02-28 14:59:30,2020-02-28 15:00:00,6,,202003,202006,202009,202012,202103,202106
2020-03-02,O,2020-03-01 18:00:00,2020-03-02 17:00:00,2020-03-02 14:59:30,2020-03-02 15:00:00,5,,202003,202006,202009,202012,202103,202106
2020-03-03,O,2020-03-02 18:00:00,2020-03-03 17:00:00,2020-03-03 14:59:30,2020-03-03 15:00:00,4,,202003,202006,202009,202012,202103,202106
2020-03-04,O,2020-03-03 18:00:00,2020-03-04 17:00:00,2020-03-04 14:59:30,2020-03-04 15:00:00,3,,202003,202006,202009,202012,202103,202106
2020-03-05,O,2020-03-04 18:00:00,2020-03-05 17:00:00,2020-03-05 14:59:30,2020-03-05 15:00:00,2,,202003,202006,202009,202012,202103,202106
2020-03-06,O,2020-03-05 18:00:00,2020-03-06 17:00:00,2020-03-06 14:59:30,2020-03-06 15:00:00,1,,202003,202006,202009,202012,202103,202106
2020-03-09,O,2020-03-08 18:00:00,2020-03-09 17:00:00,2020-03-09 14:59:30,2020-03-09 15:00:00,0,,202003,202006,202009,202012,202103,202106
2020-03-10,O,2020-03-09 18:00:00,2020-03-10 17:00:00,2020-03-10 14:59:30,2020-03-10 15:00:00,62,202003,202006,202009,202012,202103,202106,202109
2020-03-11,O,2020-03-10 18:00:00,2020-03-11 17:00:00,2020-03-11 14:59:30,2020-03-11 15:00:00,61,202003,202006,202009,202012,202103,202106,202109
2020-03-12,O,2020-03-11 18:00:00,2020-03-12 17:00:00,2020-03-12 14:59:30,2020-03-12 15:00:00,60,202003,202006,202009,202012,202103,202106,202109
2020-03-13,O,2020-03-12 18:00:00,2020-03-13 17:00:00,2020-03-13 14:59:30,2020-03-13 15:00:00,59,202003,202006,202009,202012,202103,202106,202109
2020-03-16,O,2020-03-15 18:00:00,2020-03-16 17:00:00,2020-03-16 14:59:30,2020-03-16 15:00:00,58,202003,202006,202009,202012,202103,202106,202109
2020-03-17,O,2020-03-16 18:00:00,2020-03-17 17:00:00,2020-03-17 14:59:30,2020-03-17 15:00:00,57,,202006,202009,202012,202103,202106,202109
2020-03-18,O,2020-03-17 18:00:00,2020-03-18 17:00:00,2020-03-18 14:59:30,2020-03-18 15:00:00,56,,202006,202009,202012,202103,202106,202109
2020-03-19,O,2020-03-18 18:00:00,2020-03-19 17:00:00,2020-03-19 14:59:30,2020-03-19 15:00:00,55,,202006,202009,202012,202103,202106,202109
2020-03-20,O,2020-03-19 18:00:00,2020-03-20 17:00:00,2020-03-20 14:59:30,2020-03-20 15:00:00,54,,202006,202009,202012,202103,202106,202109
2020-03-23,O,2020-03-22 18:00:00,2020-03-23 17:00:00,2020-03-23 14:59:30,2020-03-23 15:00:00,53,,202006,202009,202012,202103,202106,202109
2020-03-24,O,2020-03-23 18:00:00,2020-03-24 17:00:00,2020-03-24 14:59:30,2020-03-24 15:00:00,52,,202006,202009,202012,202103,202106,202109
2020-03-25,O,2020-03-24 18:00:00,2020-03-25 17:00:00,2020-03-25 14:59:30,2020-03-25 15:00:00,51,,202006,202009,202012,202103,202106,202109
2020-03-26,O,2020-03-25 18:00:00,2020-03-26 17:00:00,2020-03-26 14:59:30,2020-03-26 15:00:00,50,,202006,202009,202012,202103,202106,202109
2020-03-27,O,2020-03-26 18:00:00,2020-03-27 17:00:00,2020-03-27 14:59:30,2020-03-27 15:00:00,49,,202006,202009,202012,202103,202106,202109
2020-03-30,O,2020-03-29 18:00:00,2020-03-30 17:00:00,2020-03-30 14:59:30,2020-03-30 15:00:00,48,,202006,202009,202012,202103,202106,202109
2020-03-31,O,2020-03-30 18:00:00,2020-03-31 17:00:00,2020-03-31 14:59:30,2020-03-31 15:00:00,47,,202006,202009,202012,202103,202106,202109
2020-04-01,O,2020-03-31 18:00:00,2020-04-01 17:00:00,2020-04-01 14:59:30,2020-04-01 15:00:00,46,,202006,202009,202012,202103,202106,202109
2020-04-02,O,2020-04-01 18:00:00,2020-04-02 17:00:00,2020-04-02 14:59:30,2020-04-02 15:00:00,45,,202006,202009,202012,202103,202106,202109
2020-04-03,O,2020-04-02 18:00:00,2020-04-03 17:00:00,2020-04-03 14:59:30,2020-04-03 15:00:00,44,,202006,202009,202012,202103,202106,202109
2020-04-06,O,2020-04-05 18:00:00,2020-04-06 17:00:00,2020-04-06 14:59:30,2020-04-06 15:00:00,43,,202006,202009,202012,202103,202106,202109
2020-04-07,O,2020-04-06 18:00:00,2020-04-07 17:00:00,2020-04-07 14:59:30,2020-04-07 15:00:00,42,,202006,202009,202012,202103,202106,202109
2020-04-08,O,2020-04-07 18:00:00,2020-04-08 17:00:00,2020-04-08 14:59:30,2020-04-08 15:00:00,41,,202006,202009,202012,202103,202106,202109
2020-04-09,O,2020-04-08 18:00:00,2020-04-09 17:00:00,2020-04-09 14:59:30,2020-04-09 15:00:00,40,,202006,202009,202012,202103,202106,202109
2020-04-10,X,,,,,,,,,,,,
2020-04-13,O,2020-04-12 18:00:00,2020-04-13 17:00:00,2020-04-13 14:59:30,2020-04-13 15:00:00,39,,202006,202009,202012,202103,202106,202109
2020-04-14,O,2020-04-13 18:00:00,2020-04-14 17:00:00,2020-04-14 14:59:30,2020-04-14 15:00:00,38,,202006,202009,202012,202103,202106,202109
2020-04-15,O,2020-04-14 18:00:00,2020-04-15 17:00:00,2020-04-15 14:59:30,2020-04-15 15:00:00,37,,202006,202009,202012,202103,202106,202109
2020-04-16,O,2020-04-15 18:00:00,2020-04-16 17:00:00,2020-04-16 14:59:30,2020-04-16 15:00:00,36,,202006,202009,202012,202103,202106,202109
2020-04-17,O,2020-04-16 18:00:00,2020-04-17 17:00:00,2020-04-17 14:59:30,2020-04-17 15:00:00,35,,202006,202009,202012,202103,202106,202109
2020-04-20,O,2020-04-19 18:00:00,2020-04-20 17:00:00,2020-04-20 14:59:30,2020-04-20 15:00:00,34,,202006,202009,202012,202103,202106,202109
2020-04-21,O,2020-04-20 18:00:00,2020-04-21 17:00:00,2020-04-21 14:59:30,2020-04-21 15:00:00,33,,202006,202009,202012,202103,202106,202109
2020-04-22,O,2020-04-21 18:00:00,2020-04-22 17:00:00,2020-04-22 14:59:30,2020-04-22 15:00:00,32,,202006,202009,202012,202103,202106,202109
2020-04-23,O,2020-04-22 18:00:00,2020-04-23 17:00:00,2020-04-23 14:59:30,2020-04-23 15:00:00,31,,202006,202009,202012,202103,202106,202109
2020-04-24,O,2020-04-23 18:00:00,2020-04-24 17:00:00,2020-04-24 14:59:30,2020-04-24 15:00:00,30,,202006,202009,202012,202103,202106,202109
2020-04-27,O,2020-04-26 18:00:00,2020-04-27 17:00:00,2020-04-27 14:59:30,2020-04-27 15:00:00,29,,202006,202009,202012,202103,202106,202109
2020-04-28,O,2020-04-27 18:00:00,2020-04-28 17:00:00,2020-04-28 14:59:30,2020-04-28 15:00:00,28,,202006,202009,202012,202103,202106,202109
2020-04-29,O,2020-04-28 18:00:00,2020-04-29 17:00:00,2020-04-29 14:59:30,2020-04-29 15:00:00,27,,202006,202009,202012,202103,202106,202109
2020-04-30,O,2020-04-29 18:00:00,2020-04-30 17:00:00,2020-04-30 14:59:30,2020-04-30 15:00:00,26,,202006,202009,202012,202103,202106,202109
2020-05-01,O,2020-04-30 18:00:00,2020-05-01 17:00:00,2020-05-01 14:59:30,2020-05-01 15:00:00,25,,202006,202009,202012,202103,202106,202109
2020-05-04,O,2020-05-03 18:00:00,2020-05-04 17:00:00,2020-05-04 14:59:30,2020-05-04 15:00:00,24,,202006,202009,202012,202103,202106,202109
2020-05-05,O,2020-05-04 18:00:00,2020-05-05 17:00:00,2020-05-05 14:59:30,2020-05-05 15:00:00,23,,202006,202009,202012,202103,202106,202109
2020-05-06,O,2020-05-05 18:00:00,2020-05-06 17:00:00,2020-05-06 14:59:30,2020-05-06 15:00:00,22,,202006,202009,202012,202103,202106,202109
2020-05-07,O,2020-05-06 18:00:00,2020-05-07 17:00:00,2020-05-07 14:59:30,2020-05-07 15:00:00,21,,202006,202009,202012,202103,202106,202109
2020-05-08,O,2020-05-07 18:00:00,2020-05-08 17:00:00,2020-05-08 14:59:30,2020-05-08 15:00:00,20,,202006,202009,202012,202103,202106,202109
2020-05-11,O,2020-05-10 18:00:00,2020-05-11 17:00:00,2020-05-11 14:59:30,2020-05-11 15:00:00,19,,202006,202009,202012,202103,202106,202109
2020-05-12,O,2020-05-11 18:00:00,2020-05-12 17:00:00,2020-05-12 14:59:30,2020-05-12 15:00:00,18,,202006,202009,202012,202103,202106,202109
2020-05-13,O,2020-05-12 18:00:00,2020-05-13 17:00:00,2020-05-13 14:59:30,2020-05-13 15:00:00,17,,202006,202009,202012,202103,202106,202109
2020-05-14,O,2020-05-13 18:00:00,2020-05-14 17:00:00,2020-05-14 14:59:30,2020-05-14 15:00:00,16,,202006,202009,202012,202103,202106,202109
2020-05-15,O,2020-05-14 18:00:00,2020-05-15 17:00:00,2020-05-15 14:59:30,2020-05-15 15:00:00,15,,202006,202009,202012,202103,202106,202109
2020-05-18,O,2020-05-17 18:00:00,2020-05-18 17:00:00,2020-05-18 14:59:30,2020-05-18 15:00:00,14,,202006,202009,202012,202103,202106,202109
2020-05-19,O,2020-05-18 18:00:00,2020-05-19 17:00:00,2020-05-19 14:59:30,2020-05-19 15:00:00,13,,202006,202009,202012,202103,202106,202109
2020-05-20,O,2020-05-19 18:00:00,2020-05-20 17:00:00,2020-05-20 14:59:30,2020-05-20 15:00:00,12,,202006,202009,202012,202103,202106,202109
2020-05-21,O,2020-05-20 18:00:00,2020-05-21 17:00:00,2020-05-21 14:59:30,2020-05-21 15:00:00,11,,202006,202009,202012,202103,202106,202109
2020-05-22,O,2020-05-21 18:00:00,2020-05-22 17:00:00,2020-05-22 14:59:30,2020-05-22 15:00:00,10,,202006,202009,202012,202103,202106,202109
2020-05-25,X,,,,,,,,,,,,
2020-05-26,O,2020-05-25 18:00:00,2020-05-26 17:00:00,2020-05-26 14:59:30,2020-05-26 15:00:00,9,,202006,202009,202012,202103,202106,202109
2020-05-27,O,2020-05-26 18:00:00,2020-05-27 17:00:00,2020-05-27 14:59:30,2020-05-27 15:00:00,8,,202006,202009,202012,202103,202106,202109
2020-05-28,O,2020-05-27 18:00:00,2020-05-28 17:00:00,2020-05-28 14:59:30,2020-05-28 15:00:00,7,,202006,202009,202012,202103,202106,202109
2020-05-29,O,2020-05-28 18:00:00,2020-05-29 17:00:00,2020-05-29 14:59:30,2020-05-29 15:00:00,6,,202006,202009,202012,202103,202106,202109
2020-06-01,O,2020-05-31 18:00:00,2020-06-01 17:00:00,2020-06-01 14:59:30,2020-06-01 15:00:00,5,,202006,202009,202012,202103,202106,202109
2020-06-02,O,2020-06-01 18:00:00,2020-06-02 17:00:00,2020-06-02 14:59:30,2020-06-02 15:00:00,4,,202006,202009,202012,202103,202106,202109
2020-06-03,O,2020-06-02 18:00:00,2020-06-03 17:00:00,2020-06-03 14:59:30,2020-06-03 15:00:00,3,,202006,202009,202012,202103,202106,202109
2020-06-04,O,2020-06-03 18:00:00,2020-06-04 17:00:00,2020-06-04 14:59:30,2020-06-04 15:00:00,2,,202006,202009,202012,202103,202106,202109
2020-06-05,O,2020-06-04 18:00:00,2020-06-05 17:00:00,2020-06-05 14:59:30,2020-06-05 15:00:00,1,,202006,202009,202012,202103,202106,202109
2020-06-08,O,2020-06-07 18:00:00,2020-06-08 17:00:00,2020-06-08 14:59:30,2020-06-08 15:00:00,0,,202006,202009,202012,202103,202106,202109
2020-06-09,O,2020-06-08 18:00:00,2020-06-09 17:00:00,2020-06-09 14:59:30,2020-06-09 15:00:00,62,202006,202009,202012,202103,202106,202109,202112
2020-06-10,O,2020-06-09 18:00:00,2020-06-10 17:00:00,2020-06-10 14:59:30,2020-06-10 15:00:00,61,202006,202009,202012,202103,202106,202109,202112
2020-06-11,O,2020-06-10 18:00:00,2020-06-11 17:00:00,2020-06-11 14:59:30,2020-06-11 15:00:00,60,202006,202009,202012,202103,202106,202109,202112
2020-06-12,O,2020-06-11 18:00:00,2020-06-12 17:00:00,2020-06-12 14:59:30,2020-06-12 15:00:00,59,202006,202009,202012,202103,202106,202109,202112
2020-06-15,O,2020-06-14 18:00:00,2020-06-15 17:00:00,2020-06-15 14:59:30,2020-06-15 15:00:00,58,202006,202009,202012,202103,202106,202109,202112
2020-06-16,O,2020-06-15 18:00:00,2020-06-16 17:00:00,2020-06-16 14:59:30,2020-06-16 15:00:00,57,,202009,202012,202103,202106,202109,202112
2020-06-17,O,2020-06-16 18:00:00,2020-06-17 17:00:00,2020-06-17 14:59:30,2020-06-17 15:00:00,56,,202009,202012,202103,202106,202109,202112
2020-06-18,O,2020-06-17 18:00:00,2020-06-18 17:00:00,2020-06-18 14:59:30,2020-06-18 15:00:00,55,,202009,202012,202103,202106,202109,202112
2020-06-19,O,2020-06-18 18:00:00,2020-06-19 17:00:00,2020-06-19 14:59:30,2020-06-19 15:00:00,54,,202009,202012,202103,202106,202109,202112
2020-06-22,O,2020-06-21 18:00:00,2020-06-22 17:00:00,2020-06-22 14:59:30,2020-06-22 15:00:00,53,,202009,202012,202103,202106,202109,202112
2020-06-23,O,2020-06-22 18:00:00,2020-06-23 17:00:00,2020-06-23 14:59:30,2020-06-23 15:00:00,52,,202009,202012,202103,202106,202109,202112
2020-06-24,O,2020-06-23 18:00:00,2020-06-24 17:00:00,2020-06-24 14:59:30,2020-06-24 15:00:00,51,,202009,202012,202103,202106,202109,202112
2020-06-25,O,2020-06-24 18:00:00,2020-06-25 17:00:00,2020-06-25 14:59:30,2020-06-25 15:00:00,50,,202009,202012,202103,202106,202109,202112
2020-06-26,O,2020-06-25 18:00:00,2020-06-26 17:00:00,2020-06-26 14:59:30,2020-06-26 15:00:00,49,,202009,202012,202103,202106,202109,202112
2020-06-29,O,2020-06-28 18:00:00,2020-06-29 17:00:00,2020-06-29 14:59:30,2020-06-29 15:00:00,48,,202009,202012,202103,202106,202109,202112
2020-06-30,O,2020-06-29 18:00:00,2020-06-30 17:00:00,2020-06-30 14:59:30,2020-06-30 15:00:00,47,,202009,202012,202103,202106,202109,202112
2020-07-01,O,2020-06-30 18:00:00,2020-07-01 17:00:00,2020-07-01 14:59:30,2020-07-01 15:00:00,46,,202009,202012,202103,202106,202109,202112
2020-07-02,O,2020-07-01 18:00:00,2020-07-02 17:00:00,2020-07-02 14:59:30,2020-07-02 15:00:00,45,,202009,202012,202103,202106,202109,202112
2020-07-03,X,,,,,,,,,,,,
2020-07-06,O,2020-07-05 18:00:00,2020-07-06 17:00:00,2020-07-06 14:59:30,2020-07-06 15:00:00,44,,202009,202012,202103,202106,202109,202112
2020-07-07,O,2020-07-06 18:00:00,2020-07-07 17:00:00,2020-07-07 14:59:30,2020-07-07 15:00:00,43,,202009,202012,202103,202106,202109,202112
2020-07-08,O,2020-07-07 18:00:00,2020-07-08 17:00:00,2020-07-08 14:59:30,2020-07-08 15:00:00,42,,202009,202012,202103,202106,202109,202112
2020-07-09,O,2020-07-08 18:00:00,2020-07-09 17:00:00,2020-07-09 14:59:30,2020-07-09 15:00:00,41,,202009,202012,202103,202106,202109,202112
2020-07-10,O,2020-07-09 18:00:00,2020-07-10 17:00:00,2020-07-10 14:59:30,2020-07-10 15:00:00,40,,202009,202012,202103,202106,202109,202112
2020-07-13,O,2020-07-12 18:00:00,2020-07-13 17:00:00,2020-07-13 14:59:30,2020-07-13 15:00:00,39,,202009,202012,202103,202106,202109,202112
2020-07-14,O,2020-07-13 18:00:00,2020-07-14 17:00:00,2020-07-14 14:59:30,2020-07-14 15:00:00,38,,202009,202012,202103,202106,202109,202112
2020-07-15,O,2020-07-14 18:00:00,2020-07-15 17:00:00,2020-07-15 14:59:30,2020-07-15 15:00:00,37,,202009,202012,202103,202106,202109,202112
2020-07-16,O,2020-07-15 18:00:00,2020-07-16 17:00:00,2020-07-16 14:59:30,2020-07-16 15:00:00,36,,202009,202012,202103,202106,202109,202112
2020-07-17,O,2020-07-16 18:00:00,2020-07-17 17:00:00,2020-07-17 14:59:30,2020-07-17 15:00:00,35,,202009,202012,202103,202106,202109,202112
2020-07-20,O,2020-07-19 18:00:00,2020-07-20 17:00:00,2020-07-20 14:59:30,2020-07-20 15:00:00,34,,202009,202012,202103,202106,202109,202112
2020-07-21,O,2020-07-20 18:00:00,2020-07-21 17:00:00,2020-07-21 14:59:30,2020-07-21 15:00:00,33,,202009,202012,202103,202106,202109,202112
2020-07-22,O,2020-07-21 18:00:00,2020-07-22 17:00:00,2020-07-22 14:59:30,2020-07-22 15:00:00,32,,202009,202012,202103,202106,202109,202112
2020-07-23,O,2020-07-22 18:00:00,2020-07-23 17:00:00,2020-07-23 14:59:30,2020-07-23 15:00:00,31,,202009,202012,202103,202106,202109,202112
2020-07-24,O,2020-07-23 18:00:00,2020-07-24 17:00:00,2020-07-24 14:59:30,2020-07-24 15:00:00,30,,202009,202012,202103,202106,202109,202112
2020-07-27,O,2020-07-26 18:00:00,2020-07-27 17:00:00,2020-07-27 14:59:30,2020-07-27 15:00:00,29,,202009,202012,202103,202106,202109,202112
2020-07-28,O,2020-07-27 18:00:00,2020-07-28 17:00:00,2020-07-28 14:59:30,2020-07-28 15:00:00,28,,202009,202012,202103,202106,202109,202112
2020-07-29,O,2020-07-28 18:00:00,2020-07-29 17:00:00,2020-07-29 14:59:30,2020-07-29 15:00:00,27,,202009,202012,202103,202106,202109,202112
2020-07-30,O,2020-07-29 18:00:00,2020-07-30 17:00:00,2020-07-30 14:59:30,2020-07-30 15:00:00,26,,202009,202012,202103,202106,202109,202112
2020-07-31,O,2020-07-30 18:00:00,2020-07-31 17:00:00,2020-07-31 14:59:30,2020-07-31 15:00:00,25,,202009,202012,202103,202106,202109,202112
