date,date_type,trading_hours_start,trading_hours_end,settlement_start,settlement_end,roll_countdown,LeanHogs_N0,LeanHogs_N1,LeanHogs_N2,LeanHogs_N3,LeanHogs_N4,LeanHogs_N5,LeanHogs_N6
1990-01-01,X,,,,,,,,,,,,
1990-01-02,O,1990-01-02 09:30:00,1990-01-02 14:05:00,1990-01-02 13:59:30,1990-01-02 14:00:00,6,,199002,199004,199006,199007,199008,199010
1990-01-03,O,1990-01-03 09:30:00,1990-01-03 14:05:00,1990-01-03 13:59:30,1990-01-03 14:00:00,5,,199002,199004,199006,199007,199008,199010
1990-01-04,O,1990-01-04 09:30:00,1990-01-04 14:05:00,1990-01-04 13:59:30,1990-01-04 14:00:00,4,,199002,199004,199006,199007,199008,199010
1990-01-05,O,1990-01-05 09:30:00,1990-01-05 14:05:00,1990-01-05 13:59:30,1990-01-05 14:00:00,3,,199002,199004,199006,199007,199008,199010
1990-01-08,O,1990-01-08 09:30:00,1990-01-08 14:05:00,1990-01-08 13:59:30,1990-01-08 14:00:00,2,,199002,199004,199006,199007,199008,199010
1990-01-09,O,1990-01-09 09:30:00,1990-01-09 14:05:00,1990-01-09 13:59:30,1990-01-09 14:00:00,1,,199002,199004,199006,199007,199008,199010
1990-01-10,O,1990-01-10 09:30:00,1990-01-10 14:05:00,1990-01-10 13:59:30,1990-01-10 14:00:00,0,,199002,199004,199006,199007,199008,199010
1990-01-11,O,1990-01-11 09:30:00,1990-01-11 14:05:00,1990-01-11 13:59:30,1990-01-11 14:00:00,40,199002,199004,199006,199007,199008,199010,199012
1990-01-12,O,1990-01-12 09:30:00,1990-01-12 14:05:00,1990-01-12 13:59:30,1990-01-12 14:00:00,39,199002,199004,199006,199007,199008,199010,199012
1990-01-15,O,1990-01-15 09:30:00,1990-01-15 14:05:00,1990-01-15 13:59:30,1990-01-15 14:00:00,38,199002,199004,199006,199007,199008,199010,199012
1990-01-16,O,1990-01-16 09:30:00,1990-01-16 14:05:00,1990-01-16 13:59:30,1990-01-16 14:00:00,37,199002,199004,199006,199007,199008,199010,199012
1990-01-17,O,1990-01-17 09:30:00,1990-01-17 14:05:00,1990-01-17 13:59:30,1990-01-17 14:00:00,36,199002,199004,199006,199007,199008,199010,199012
1990-01-18,O,1990-01-18 09:30:00,1990-01-18 14:05:00,1990-01-18 13:59:30,1990-01-18 14:00:00,35,199002,199004,199006,199007,199008,199010,199012
1990-01-19,O,1990-01-19 09:30:00,1990-01-19 14:05:00,1990-01-19 13:59:30,1990-01-19 14:00:00,34,199002,199004,199006,199007,199008,199010,199012
1990-01-22,O,1990-01-22 09:30:00,1990-01-22 14:05:00,1990-01-22 13:59:30,1990-01-22 14:00:00,33,199002,199004,199006,199007,199008,199010,199012
1990-01-23,O,1990-01-23 09:30:00,1990-01-23 14:05:00,1990-01-23 13:59:30,1990-01-23 14:00:00,32,199002,199004,199006,199007,199008,199010,199012
1990-01-24,O,1990-01-24 09:30:00,1990-01-24 14:05:00,1990-01-24 13:59:30,1990-01-24 14:00:00,31,199002,199004,199006,199007,199008,199010,199012
1990-01-25,O,1990-01-25 09:30:00,1990-01-25 14:05:00,1990-01-25 13:59:30,1990-01-25 14:00:00,30,199002,199004,199006,199007,199008,199010,199012
1990-01-26,O,1990-01-26 09:30:00,1990-01-26 14:05:00,1990-01-26 13:59:30,1990-01-26 14:00:00,29,199002,199004,199006,199007,199008,199010,199012
1990-01-29,O,1990-01-29 09:30:00,1990-01-29 14:05:00,1990-01-29 13:59:30,1990-01-29 14:00:00,28,199002,199004,199006,199007,199008,199010,199012
1990-01-30,O,1990-01-30 09:30:00,1990-01-30 14:05:00,1990-01-30 13:59:30,1990-01-30 14:00:00,27,199002,199004,199006,199007,199008,199010,199012
1990-01-31,O,1990-01-31 09:30:00,1990-01-31 14:05:00,1990-01-31 13:59:30,1990-01-31 14:00:00,26,199002,199004,199006,199007,199008,199010,199012
1990-02-01,O,1990-02-01 09:30:00,1990-02-01 14:05:00,1990-02-01 13:59:30,1990-02-01 14:00:00,25,199002,199004,199006,199007,199008,199010,199012
1990-02-02,O,1990-02-02 09:30:00,1990-02-02 14:05:00,1990-02-02 13:59:30,1990-02-02 14:00:00,24,199002,199004,199006,199007,199008,199010,199012
1990-02-05,O,1990-02-05 09:30:00,1990-02-05 14:05:00,1990-02-05 13:59:30,1990-02-05 14:00:00,23,199002,199004,199006,199007,199008,199010,199012
1990-02-06,O,1990-02-06 09:30:00,1990-02-06 14:05:00,1990-02-06 13:59:30,1990-02-06 14:00:00,22,199002,199004,199006,199007,199008,199010,199012
1990-02-07,O,1990-02-07 09:30:00,1990-02-07 14:05:00,1990-02-07 13:59:30,1990-02-07 14:00:00,21,199002,199004,199006,199007,199008,199010,199012
1990-02-08,O,1990-02-08 09:30:00,1990-02-08 14:05:00,1990-02-08 13:59:30,1990-02-08 14:00:00,20,199002,199004,199006,199007,199008,199010,199012
1990-02-09,O,1990-02-09 09:30:00,1990-02-09 14:05:00,1990-02-09 13:59:30,1990-02-09 14:00:00,19,199002,199004,199006,199007,199008,199010,199012
1990-02-12,O,1990-02-12 09:30:00,1990-02-12 14:05:00,1990-02-12 13:59:30,1990-02-12 14:00:00,18,199002,199004,199006,199007,199008,199010,199012
1990-02-13,O,1990-02-13 09:30:00,1990-02-13 14:05:00,1990-02-13 13:59:30,1990-02-13 14:00:00,17,199002,199004,199006,199007,199008,199010,199012
1990-02-14,O,1990-02-14 09:30:00,1990-02-14 14:05:00,1990-02-14 13:59:30,1990-02-14 14:00:00,16,199002,199004,199006,199007,199008,199010,199012
1990-02-15,O,1990-02-15 09:30:00,1990-02-15 14:05:00,1990-02-15 13:59:30,1990-02-15 14:00:00,15,199002,199004,199006,199007,199008,199010,199012
1990-02-16,O,1990-02-16 09:30:00,1990-02-16 14:05:00,1990-02-16 13:59:30,1990-02-16 14:00:00,14,199002,199004,199006,199007,199008,199010,199012
1990-02-19,X,,,,,,,,,,,,
1990-02-20,O,1990-02-20 09:30:00,1990-02-20 14:05:00,1990-02-20 13:59:30,1990-02-20 14:00:00,13,199002,199004,199006,199007,199008,199010,199012
1990-02-21,O,1990-02-21 09:30:00,1990-02-21 14:05:00,1990-02-21 13:59:30,1990-02-21 14:00:00,12,,199004,199006,199007,199008,199010,199012
1990-02-22,O,1990-02-22 09:30:00,1990-02-22 14:05:00,1990-02-22 13:59:30,1990-02-22 14:00:00,11,,199004,199006,199007,199008,199010,199012
1990-02-23,O,1990-02-23 09:30:00,1990-02-23 14:05:00,1990-02-23 13:59:30,1990-02-23 14:00:00,10,,199004,199006,199007,199008,199010,199012
1990-02-26,O,1990-02-26 09:30:00,1990-02-26 14:05:00,1990-02-26 13:59:30,1990-02-26 14:00:00,9,,199004,199006,199007,199008,199010,199012
1990-02-27,O,1990-02-27 09:30:00,1990-02-27 14:05:00,1990-02-27 13:59:30,1990-02-27 14:00:00,8,,199004,199006,199007,199008,199010,199012
1990-02-28,O,1990-02-28 09:30:00,1990-02-28 14:05:00,1990-02-28 13:59:30,1990-02-28 14:00:00,7,,199004,199006,199007,199008,199010,199012
1990-03-01,O,1990-03-01 09:30:00,1990-03-01 14:05:00,1990-03-01 13:59:30,1990-03-01 14:00:00,6,,199004,199006,199007,199008,199010,199012
1990-03-02,O,1990-03-02 09:30:00,1990-03-02 14:05:00,1990-03-02 13:59:30,1990-03-02 14:00:00,5,,199004,199006,199007,199008,199010,199012
