date,date_type,trading_hours_start,trading_hours_end,settlement_start,settlement_end,roll_countdown,Soybeans_N0,Soybeans_N1,Soybeans_N2,Soybeans_N3,Soybeans_N4,Soybeans_N5,Soybeans_N6
1990-02-27,O,1990-02-26 20:00:00,1990-02-27 14:20:00,1990-02-27 14:14:00,1990-02-27 14:15:00,38,199003,199005,199007,199011,199101,199103,199105
1990-02-28,O,1990-02-27 20:00:00,1990-02-28 14:20:00,1990-02-28 14:14:00,1990-02-28 14:15:00,37,199003,199005,199007,199011,199101,199103,199105
1990-03-01,O,1990-02-28 20:00:00,1990-03-01 14:20:00,1990-03-01 14:14:00,1990-03-01 14:15:00,36,199003,199005,199007,199011,199101,199103,199105
1990-03-02,O,1990-03-01 20:00:00,1990-03-02 14:20:00,1990-03-02 14:14:00,1990-03-02 14:15:00,35,199003,199005,199007,199011,199101,199103,199105
1990-03-05,O,1990-03-04 20:00:00,1990-03-05 14:20:00,1990-03-05 14:14:00,1990-03-05 14:15:00,34,199003,199005,199007,199011,199101,199103,199105
1990-03-06,O,1990-03-05 20:00:00,1990-03-06 14:20:00,1990-03-06 14:14:00,1990-03-06 14:15:00,33,199003,199005,199007,199011,199101,199103,199105
1990-03-07,O,1990-03-06 20:00:00,1990-03-07 14:20:00,1990-03-07 14:14:00,1990-03-07 14:15:00,32,199003,199005,199007,199011,199101,199103,199105
1990-03-08,O,1990-03-07 20:00:00,1990-03-08 14:20:00,1990-03-08 14:14:00,1990-03-08 14:15:00,31,199003,199005,199007,199011,199101,199103,199105
1990-03-09,O,1990-03-08 20:00:00,1990-03-09 14:20:00,1990-03-09 14:14:00,1990-03-09 14:15:00,30,199003,199005,199007,199011,199101,199103,199105
1990-03-12,O,1990-03-11 20:00:00,1990-03-12 14:20:00,1990-03-12 14:14:00,1990-03-12 14:15:00,29,199003,199005,199007,199011,199101,199103,199105
1990-03-13,O,1990-03-12 20:00:00,1990-03-13 14:20:00,1990-03-13 14:14:00,1990-03-13 14:15:00,28,199003,199005,199007,199011,199101,199103,199105
1990-03-14,O,1990-03-13 20:00:00,1990-03-14 14:20:00,1990-03-14 14:14:00,1990-03-14 14:15:00,27,199003,199005,199007,199011,199101,199103,199105
1990-03-15,O,1990-03-14 20:00:00,1990-03-15 14:20:00,1990-03-15 14:14:00,1990-03-15 14:15:00,26,199003,199005,199007,199011,199101,199103,199105
1990-03-16,O,1990-03-15 20:00:00,1990-03-16 14:20:00,1990-03-16 14:14:00,1990-03-16 14:15:00,25,199003,199005,199007,199011,199101,199103,199105
1990-03-19,O,1990-03-18 20:00:00,1990-03-19 14:20:00,1990-03-19 14:14:00,1990-03-19 14:15:00,24,199003,199005,199007,199011,199101,199103,199105
1990-03-20,O,1990-03-19 20:00:00,1990-03-20 14:20:00,1990-03-20 14:14:00,1990-03-20 14:15:00,23,199003,199005,199007,199011,199101,199103,199105
1990-03-21,O,1990-03-20 20:00:00,1990-03-21 14:20:00,1990-03-21 14:14:00,1990-03-21 14:15:00,22,199003,199005,199007,199011,199101,199103,199105
1990-03-22,O,1990-03-21 20:00:00,1990-03-22 14:20:00,1990-03-22 14:14:00,1990-03-22 14:15:00,21,,199005,199007,199011,199101,199103,199105
1990-03-23,O,1990-03-22 20:00:00,1990-03-23 14:20:00,1990-03-23 14:14:00,1990-03-23 14:15:00,20,,199005,199007,199011,199101,199103,199105
1990-03-26,O,1990-03-25 20:00:00,1990-03-26 14:20:00,1990-03-26 14:14:00,1990-03-26 14:15:00,19,,199005,199007,199011,199101,199103,199105
1990-03-27,O,1990-03-26 20:00:00,1990-03-27 14:20:00,1990-03-27 14:14:00,1990-03-27 14:15:00,18,,199005,199007,199011,199101,199103,199105
1990-03-28,O,1990-03-27 20:00:00,1990-03-28 14:20:00,1990-03-28 14:14:00,1990-03-28 14:15:00,17,,199005,199007,199011,199101,199103,199105
1990-03-29,O,1990-03-28 20:00:00,1990-03-29 14:20:00,1990-03-29 14:14:00,1990-03-29 14:15:00,16,,199005,199007,199011,199101,199103,199105
1990-03-30,O,1990-03-29 20:00:00,1990-03-30 14:20:00,1990-03-30 14:14:00,1990-03-30 14:15:00,15,,199005,199007,199011,199101,199103,199105
1990-04-02,O,1990-04-01 20:00:00,1990-04-02 14:20:00,1990-04-02 14:14:00,1990-04-02 14:15:00,14,,199005,199007,199011,199101,199103,199105
1990-04-03,O,1990-04-02 20:00:00,1990-04-03 14:20:00,1990-04-03 14:14:00,1990-04-03 14:15:00,13,,199005,199007,199011,199101,199103,199105
1990-04-04,O,1990-04-03 20:00:00,1990-04-04 14:20:00,1990-04-04 14:14:00,1990-04-04 14:15:00,12,,199005,199007,199011,199101,199103,199105
1990-04-05,O,1990-04-04 20:00:00,1990-04-05 14:20:00,1990-04-05 14:14:00,1990-04-05 14:15:00,11,,199005,199007,199011,199101,199103,199105
1990-04-06,O,1990-04-05 20:00:00,1990-04-06 14:20:00,1990-04-06 14:14:00,1990-04-06 14:15:00,10,,199005,199007,199011,199101,199103,199105
1990-04-09,O,1990-04-08 20:00:00,1990-04-09 14:20:00,1990-04-09 14:14:00,1990-04-09 14:15:00,9,,199005,199007,199011,199101,199103,199105
1990-04-10,O,1990-04-09 20:00:00,1990-04-10 14:20:00,1990-04-10 14:14:00,1990-04-10 14:15:00,8,,199005,199007,199011,199101,199103,199105
1990-04-11,O,1990-04-10 20:00:00,1990-04-11 14:20:00,1990-04-11 14:14:00,1990-04-11 14:15:00,7,,199005,199007,199011,199101,199103,199105
1990-04-12,O,1990-04-11 20:00:00,1990-04-12 14:20:00,1990-04-12 14:14:00,1990-04-12 14:15:00,6,,199005,199007,199011,199101,199103,199105
1990-04-13,X,,,,,,,,,,,,
1990-04-16,O,1990-04-15 20:00:00,1990-04-16 14:20:00,1990-04-16 14:14:00,1990-04-16 14:15:00,5,,199005,199007,199011,199101,199103,199105
1990-04-17,O,1990-04-16 20:00:00,1990-04-17 14:20:00,1990-04-17 14:14:00,1990-04-17 14:15:00,4,,199005,199007,199011,199101,199103,199105
1990-04-18,O,1990-04-17 20:00:00,1990-04-18 14:20:00,1990-04-18 14:14:00,1990-04-18 14:15:00,3,,199005,199007,199011,199101,199103,199105
1990-04-19,O,1990-04-18 20:00:00,1990-04-19 14:20:00,1990-04-19 14:14:00,1990-04-19 14:15:00,2,,199005,199007,199011,199101,199103,199105
1990-04-20,O,1990-04-19 20:00:00,1990-04-20 14:20:00,1990-04-20 14:14:00,1990-04-20 14:15:00,1,,199005,199007,199011,199101,199103,199105
1990-04-23,O,1990-04-22 20:00:00,1990-04-23 14:20:00,1990-04-23 14:14:00,1990-04-23 14:15:00,0,,199005,199007,199011,199101,199103,199105
1990-04-24,O,1990-04-23 20:00:00,1990-04-24 14:20:00,1990-04-24 14:14:00,1990-04-24 14:15:00,42,199005,199007,199011,199101,199103,199105,199107
1990-04-25,O,1990-04-24 20:00:00,1990-04-25 14:20:00,1990-04-25 14:14:00,1990-04-25 14:15:00,41,199005,199007,199011,199101,199103,199105,199107
1990-04-26,O,1990-04-25 20:00:00,1990-04-26 14:20:00,1990-04-26 14:14:00,1990-04-26 14:15:00,40,199005,199007,199011,199101,199103,199105,199107
1990-04-27,O,1990-04-26 20:00:00,1990-04-27 14:20:00,1990-04-27 14:14:00,1990-04-27 14:15:00,39,199005,199007,199011,199101,199103,199105,199107
1990-04-30,O,1990-04-29 20:00:00,1990-04-30 14:20:00,1990-04-30 14:14:00,1990-04-30 14:15:00,38,199005,199007,199011,199101,199103,199105,199107
1990-05-01,O,1990-04-30 20:00:00,1990-05-01 14:20:00,1990-05-01 14:14:00,1990-05-01 14:15:00,37,199005,199007,199011,199101,199103,199105,199107
1990-05-02,O,1990-05-01 20:00:00,1990-05-02 14:20:00,1990-05-02 14:14:00,1990-05-02 14:15:00,36,199005,199007,199011,199101,199103,199105,199107
1990-05-03,O,1990-05-02 20:00:00,1990-05-03 14:20:00,1990-05-03 14:14:00,1990-05-03 14:15:00,35,199005,199007,199011,199101,199103,199105,199107
1990-05-04,O,1990-05-03 20:00:00,1990-05-04 14:20:00,1990-05-04 14:14:00,1990-05-04 14:15:00,34,199005,199007,199011,199101,199103,199105,199107
1990-05-07,O,1990-05-06 20:00:00,1990-05-07 14:20:00,1990-05-07 14:14:00,1990-05-07 14:15:00,33,199005,199007,199011,199101,199103,199105,199107
1990-05-08,O,1990-05-07 20:00:00,1990-05-08 14:20:00,1990-05-08 14:14:00,1990-05-08 14:15:00,32,199005,199007,199011,199101,199103,199105,199107
1990-05-09,O,1990-05-08 20:00:00,1990-05-09 14:20:00,1990-05-09 14:14:00,1990-05-09 14:15:00,31,199005,199007,199011,199101,199103,199105,199107
1990-05-10,O,1990-05-09 20:00:00,1990-05-10 14:20:00,1990-05-10 14:14:00,1990-05-10 14:15:00,30,199005,199007,199011,199101,199103,199105,199107
1990-05-11,O,1990-05-10 20:00:00,1990-05-11 14:20:00,1990-05-11 14:14:00,1990-05-11 14:15:00,29,199005,199007,199011,199101,199103,199105,199107
1990-05-14,O,1990-05-13 20:00:00,1990-05-14 14:20:00,1990-05-14 14:14:00,1990-05-14 14:15:00,28,199005,199007,199011,199101,199103,199105,199107
1990-05-15,O,1990-05-14 20:00:00,1990-05-15 14:20:00,1990-05-15 14:14:00,1990-05-15 14:15:00,27,199005,199007,199011,199101,199103,199105,199107
1990-05-16,O,1990-05-15 20:00:00,1990-05-16 14:20:00,1990-05-16 14:14:00,1990-05-16 14:15:00,26,199005,199007,199011,199101,199103,199105,199107
1990-05-17,O,1990-05-16 20:00:00,1990-05-17 14:20:00,1990-05-17 14:14:00,1990-05-17 14:15:00,25,199005,199007,199011,199101,199103,199105,199107
1990-05-18,O,1990-05-17 20:00:00,1990-05-18 14:20:00,1990-05-18 14:14:00,1990-05-18 14:15:00,24,199005,199007,199011,199101,199103,199105,199107
1990-05-21,O,1990-05-20 20:00:00,1990-05-21 14:20:00,1990-05-21 14:14:00,1990-05-21 14:15:00,23,199005,199007,199011,199101,199103,199105,199107
1990-05-22,O,1990-05-21 20:00:00,1990-05-22 14:20:00,1990-05-22 14:14:00,1990-05-22 14:15:00,22,,199007,199011,199101,199103,199105,199107
1990-05-23,O,1990-05-22 20:00:00,1990-05-23 14:20:00,1990-05-23 14:14:00,1990-05-23 14:15:00,21,,199007,199011,199101,199103,199105,199107
1990-05-24,O,1990-05-23 20:00:00,1990-05-24 14:20:00,1990-05-24 14:14:00,1990-05-24 14:15:00,20,,199007,199011,199101,199103,199105,199107
1990-05-25,O,1990-05-24 20:00:00,1990-05-25 14:20:00,1990-05-25 14:14:00,1990-05-25 14:15:00,19,,199007,199011,199101,199103,199105,199107
1990-05-28,X,,,,,,,,,,,,
1990-05-29,O,1990-05-28 20:00:00,1990-05-29 14:20:00,1990-05-29 14:14:00,1990-05-29 14:15:00,18,,199007,199011,199101,199103,199105,199107
1990-05-30,O,1990-05-29 20:00:00,1990-05-30 14:20:00,1990-05-30 14:14:00,1990-05-30 14:15:00,17,,199007,199011,199101,199103,199105,199107
1990-05-31,O,1990-05-30 20:00:00,1990-05-31 14:20:00,1990-05-31 14:14:00,1990-05-31 14:15:00,16,,199007,199011,199101,199103,199105,199107
1990-06-01,O,1990-05-31 20:00:00,1990-06-01 14:20:00,1990-06-01 14:14:00,1990-06-01 14:15:00,15,,199007,199011,199101,199103,199105,199107
1990-06-04,O,1990-06-03 20:00:00,1990-06-04 14:20:00,1990-06-04 14:14:00,1990-06-04 14:15:00,14,,199007,199011,199101,199103,199105,199107
1990-06-05,O,1990-06-04 20:00:00,1990-06-05 14:20:00,1990-06-05 14:14:00,1990-06-05 14:15:00,13,,199007,199011,199101,199103,199105,199107
1990-06-06,O,1990-06-05 20:00:00,1990-06-06 14:20:00,1990-06-06 14:14:00,1990-06-06 14:15:00,12,,199007,199011,199101,199103,199105,199107
1990-06-07,O,1990-06-06 20:00:00,1990-06-07 14:20:00,1990-06-07 14:14:00,1990-06-07 14:15:00,11,,199007,199011,199101,199103,199105,199107
1990-06-08,O,1990-06-07 20:00:00,1990-06-08 14:20:00,1990-06-08 14:14:00,1990-06-08 14:15:00,10,,199007,199011,199101,199103,199105,199107
1990-06-11,O,1990-06-10 20:00:00,1990-06-11 14:20:00,1990-06-11 14:14:00,1990-06-11 14:15:00,9,,199007,199011,199101,199103,199105,199107
1990-06-12,O,1990-06-11 20:00:00,1990-06-12 14:20:00,1990-06-12 14:14:00,1990-06-12 14:15:00,8,,199007,199011,199101,199103,199105,199107
1990-06-13,O,1990-06-12 20:00:00,1990-06-13 14:20:00,1990-06-13 14:14:00,1990-06-13 14:15:00,7,,199007,199011,199101,199103,199105,199107
1990-06-14,O,1990-06-13 20:00:00,1990-06-14 14:20:00,1990-06-14 14:14:00,1990-06-14 14:15:00,6,,199007,199011,199101,199103,199105,199107
1990-06-15,O,1990-06-14 20:00:00,1990-06-15 14:20:00,1990-06-15 14:14:00,1990-06-15 14:15:00,5,,199007,199011,199101,199103,199105,199107
1990-06-18,O,1990-06-17 20:00:00,1990-06-18 14:20:00,1990-06-18 14:14:00,1990-06-18 14:15:00,4,,199007,199011,199101,199103,199105,199107
1990-06-19,O,1990-06-18 20:00:00,1990-06-19 14:20:00,1990-06-19 14:14:00,1990-06-19 14:15:00,3,,199007,199011,199101,199103,199105,199107
1990-06-20,O,1990-06-19 20:00:00,1990-06-20 14:20:00,1990-06-20 14:14:00,1990-06-20 14:15:00,2,,199007,199011,199101,199103,199105,199107
1990-06-21,O,1990-06-20 20:00:00,1990-06-21 14:20:00,1990-06-21 14:14:00,1990-06-21 14:15:00,1,,199007,199011,199101,199103,199105,199107
1990-06-22,O,1990-06-21 20:00:00,1990-06-22 14:20:00,1990-06-22 14:14:00,1990-06-22 14:15:00,0,,199007,199011,199101,199103,199105,199107
1990-06-25,O,1990-06-24 20:00:00,1990-06-25 14:20:00,1990-06-25 14:14:00,1990-06-25 14:15:00,85,199007,199011,199101,199103,199105,199107,199111
1990-06-26,O,1990-06-25 20:00:00,1990-06-26 14:20:00,1990-06-26 14:14:00,1990-06-26 14:15:00,84,199007,199011,199101,199103,199105,199107,199111
1990-06-27,O,1990-06-26 20:00:00,1990-06-27 14:20:00,1990-06-27 14:14:00,1990-06-27 14:15:00,83,199007,199011,199101,199103,199105,199107,199111
1990-06-28,O,1990-06-27 20:00:00,1990-06-28 14:20:00,1990-06-28 14:14:00,1990-06-28 14:15:00,82,199007,199011,199101,199103,199105,199107,199111
1990-06-29,O,1990-06-28 20:00:00,1990-06-29 14:20:00,1990-06-29 14:14:00,1990-06-29 14:15:00,81,199007,199011,199101,199103,199105,199107,199111
1990-07-02,O,1990-07-01 20:00:00,1990-07-02 14:20:00,1990-07-02 14:14:00,1990-07-02 14:15:00,80,199007,199011,199101,199103,199105,199107,199111
1990-07-03,O,1990-07-02 20:00:00,1990-07-03 14:20:00,1990-07-03 14:14:00,1990-07-03 14:15:00,79,199007,199011,199101,199103,199105,199107,199111
1990-07-04,X,,,,,,,,,,,,
1990-07-05,O,1990-07-04 20:00:00,1990-07-05 14:20:00,1990-07-05 14:14:00,1990-07-05 14:15:00,78,199007,199011,199101,199103,199105,199107,199111
1990-07-06,O,1990-07-05 20:00:00,1990-07-06 14:20:00,1990-07-06 14:14:00,1990-07-06 14:15:00,77,199007,199011,199101,199103,199105,199107,199111
1990-07-09,O,1990-07-08 20:00:00,1990-07-09 14:20:00,1990-07-09 14:14:00,1990-07-09 14:15:00,76,199007,199011,199101,199103,199105,199107,199111
1990-07-10,O,1990-07-09 20:00:00,1990-07-10 14:20:00,1990-07-10 14:14:00,1990-07-10 14:15:00,75,199007,199011,199101,199103,199105,199107,199111
1990-07-11,O,1990-07-10 20:00:00,1990-07-11 14:20:00,1990-07-11 14:14:00,1990-07-11 14:15:00,74,199007,199011,199101,199103,199105,199107,199111
1990-07-12,O,1990-07-11 20:00:00,1990-07-12 14:20:00,1990-07-12 14:14:00,1990-07-12 14:15:00,73,199007,199011,199101,199103,199105,199107,199111
1990-07-13,O,1990-07-12 20:00:00,1990-07-13 14:20:00,1990-07-13 14:14:00,1990-07-13 14:15:00,72,199007,199011,199101,199103,199105,199107,199111
1990-07-16,O,1990-07-15 20:00:00,1990-07-16 14:20:00,1990-07-16 14:14:00,1990-07-16 14:15:00,71,199007,199011,199101,199103,199105,199107,199111
1990-07-17,O,1990-07-16 20:00:00,1990-07-17 14:20:00,1990-07-17 14:14:00,1990-07-17 14:15:00,70,199007,199011,199101,199103,199105,199107,199111
1990-07-18,O,1990-07-17 20:00:00,1990-07-18 14:20:00,1990-07-18 14:14:00,1990-07-18 14:15:00,69,199007,199011,199101,199103,199105,199107,199111
1990-07-19,O,1990-07-18 20:00:00,1990-07-19 14:20:00,1990-07-19 14:14:00,1990-07-19 14:15:00,68,199007,199011,199101,199103,199105,199107,199111
1990-07-20,O,1990-07-19 20:00:00,1990-07-20 14:20:00,1990-07-20 14:14:00,1990-07-20 14:15:00,67,199007,199011,199101,199103,199105,199107,199111
1990-07-23,O,1990-07-22 20:00:00,1990-07-23 14:20:00,1990-07-23 14:14:00,1990-07-23 14:15:00,66,,199011,199101,199103,199105,199107,199111
1990-07-24,O,1990-07-23 20:00:00,1990-07-24 14:20:00,1990-07-24 14:14:00,1990-07-24 14:15:00,65,,199011,199101,199103,199105,199107,199111
1990-07-25,O,1990-07-24 20:00:00,1990-07-25 14:20:00,1990-07-25 14:14:00,1990-07-25 14:15:00,64,,199011,199101,199103,199105,199107,199111
1990-07-26,O,1990-07-25 20:00:00,1990-07-26 14:20:00,1990-07-26 14:14:00,1990-07-26 14:15:00,63,,199011,199101,199103,199105,199107,199111
1990-07-27,O,1990-07-26 20:00:00,1990-07-27 14:20:00,1990-07-27 14:14:00,1990-07-27 14:15:00,62,,199011,199101,199103,199105,199107,199111
1990-07-30,O,1990-07-29 20:00:00,1990-07-30 14:20:00,1990-07-30 14:14:00,1990-07-30 14:15:00,61,,199011,199101,199103,199105,199107,199111
1990-07-31,O,1990-07-30 20:00:00,1990-07-31 14:20:00,1990-07-31 14:14:00,1990-07-31 14:15:00,60,,199011,199101,199103,199105,199107,199111
1990-08-01,O,1990-07-31 20:00:00,1990-08-01 14:20:00,1990-08-01 14:14:00,1990-08-01 14:15:00,59,,199011,199101,199103,199105,199107,199111
1990-08-02,O,1990-08-01 20:00:00,1990-08-02 14:20:00,1990-08-02 14:14:00,1990-08-02 14:15:00,58,,199011,199101,199103,199105,199107,199111
1990-08-03,O,1990-08-02 20:00:00,1990-08-03 14:20:00,1990-08-03 14:14:00,1990-08-03 14:15:00,57,,199011,199101,199103,199105,199107,199111
1990-08-06,O,1990-08-05 20:00:00,1990-08-06 14:20:00,1990-08-06 14:14:00,1990-08-06 14:15:00,56,,199011,199101,199103,199105,199107,199111
1990-08-07,O,1990-08-06 20:00:00,1990-08-07 14:20:00,1990-08-07 14:14:00,1990-08-07 14:15:00,55,,199011,199101,199103,199105,199107,199111
1990-08-08,O,1990-08-07 20:00:00,1990-08-08 14:20:00,1990-08-08 14:14:00,1990-08-08 14:15:00,54,,199011,199101,199103,199105,199107,199111
1990-08-09,O,1990-08-08 20:00:00,1990-08-09 14:20:00,1990-08-09 14:14:00,1990-08-09 14:15:00,53,,199011,199101,199103,199105,199107,199111
1990-08-10,O,1990-08-09 20:00:00,1990-08-10 14:20:00,1990-08-10 14:14:00,1990-08-10 14:15:00,52,,199011,199101,199103,199105,199107,199111
1990-08-13,O,1990-08-12 20:00:00,1990-08-13 14:20:00,1990-08-13 14:14:00,1990-08-13 14:15:00,51,,199011,199101,199103,199105,199107,199111
1990-08-14,O,1990-08-13 20:00:00,1990-08-14 14:20:00,1990-08-14 14:14:00,1990-08-14 14:15:00,50,,199011,199101,199103,199105,199107,199111
1990-08-15,O,1990-08-14 20:00:00,1990-08-15 14:20:00,1990-08-15 14:14:00,1990-08-15 14:15:00,49,,199011,199101,199103,199105,199107,199111
1990-08-16,O,1990-08-15 20:00:00,1990-08-16 14:20:00,1990-08-16 14:14:00,1990-08-16 14:15:00,48,,199011,199101,199103,199105,199107,199111
1990-08-17,O,1990-08-16 20:00:00,1990-08-17 14:20:00,1990-08-17 14:14:00,1990-08-17 14:15:00,47,,199011,199101,199103,199105,199107,199111
1990-08-20,O,1990-08-19 20:00:00,1990-08-20 14:20:00,1990-08-20 14:14:00,1990-08-20 14:15:00,46,,199011,199101,199103,199105,199107,199111
1990-08-21,O,1990-08-20 20:00:00,1990-08-21 14:20:00,1990-08-21 14:14:00,1990-08-21 14:15:00,45,,199011,199101,199103,199105,199107,199111
1990-08-22,O,1990-08-21 20:00:00,1990-08-22 14:20:00,1990-08-22 14:14:00,1990-08-22 14:15:00,44,,199011,199101,199103,199105,199107,199111
1990-08-23,O,1990-08-22 20:00:00,1990-08-23 14:20:00,1990-08-23 14:14:00,1990-08-23 14:15:00,43,,199011,199101,199103,199105,199107,199111
1990-08-24,O,1990-08-23 20:00:00,1990-08-24 14:20:00,1990-08-24 14:14:00,1990-08-24 14:15:00,42,,199011,199101,199103,199105,199107,199111
